% Model,COMSOL_Inductor04_SmallMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 2 2025, 13:44"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.24,0.0289060008685113
0,0,0.029984659953268506
0,0.24,0.031053649670464884
0.05,-0.24,0.07506727241972652
0.05,0,0.07612555667575616
0.05,0.24,0.07717177289057058
0.1,-0.24,0.05696631604589735
0.1,0,0.05785775445395432
0.1,0.24,0.05873083648350588
0.15000000000000002,-0.24,0.04439599210727251
0.15000000000000002,0,0.0451592286759852
0.15000000000000002,0.24,0.04590117282693636
0.2,-0.24,0.035131106135637094
0.2,0,0.035765438099396724
0.2,0.24,0.036380941886835536
0.25,-0.24,0.027250038074998553
0.25,0,0.027763617876227657
0.25,0.24,0.02823728629873233
0.30000000000000004,-0.24,0.02096771883609065
0.30000000000000004,0,0.02140872294386452
0.30000000000000004,0.24,0.021734357936617585
0.35000000000000003,-0.24,0.015621106649916174
0.35000000000000003,0,0.016193255043845785
0.35000000000000003,0.24,0.01647521359165991
0.4,-0.24,0.011906814211033765
0.4,0,0.012618357559318706
0.4,0.24,0.012905107313750361
0.45000000000000007,-0.24,0.00830759867702224
0.45000000000000007,0,0.009083447303018794
0.45000000000000007,0.24,0.009255414515795573
0.5,-0.24,0.006508163051497086
0.5,0,0.007243863361593433
0.5,0.24,0.007335718900452171
0.55,-0.24,0.004871966364498339
0.55,0,0.005535342308845902
0.55,0.24,0.005591879986682749
0.6000000000000001,-0.24,0.0038451737853305223
0.6000000000000001,0,0.004431501313576381
0.6000000000000001,0.24,0.004474278710969842
0.6500000000000001,-0.24,0.002539952341574544
0.6500000000000001,0,0.0030551551676233283
0.6500000000000001,0.24,0.003092000590059746
0.7000000000000001,-0.24,0.002110016615405172
0.7000000000000001,0,0.0025626327292567344
0.7000000000000001,0.24,0.00259689543582783
0.75,-0.24,0.0016110881600518382
0.75,0,0.0020095817073621756
0.75,0.24,0.0020425669270808214
0.8,-0.24,0.0013815748844057147
0.8,0,0.0017334508443209685
0.8,0.24,0.001765966121647119
0.8500000000000001,-0.24,0.0011098292601003758
0.8500000000000001,0,0.0014214978962030708
0.8500000000000001,0.24,0.0014540091207805384
0.9000000000000001,-0.24,6.896527680477658E-4
0.9000000000000001,0,9.663683946169867E-4
0.9000000000000001,0.24,9.992870208750996E-4
0.9500000000000001,-0.24,7.705075508214774E-4
0.9500000000000001,0,0.001016832718126581
0.9500000000000001,0.24,0.001050350648698344
1,-0.24,4.7147775710570635E-5
1,0,2.669054217038113E-4
1,0.24,3.0112467672019914E-4
1.05,-0.24,4.76746385448718E-4
1.05,0,6.732537965682677E-4
1.05,0.24,7.082965413992663E-4
1.1,-0.24,2.8235012008197215E-5
1.1,0,2.0432828967847016E-4
1.1,0.24,2.4017908402682552E-4
1.1500000000000001,-0.24,-1.3755206350997082E-4
1.1500000000000001,0,2.0517611266194298E-5
1.1500000000000001,0.24,5.713176681663805E-5
1.2000000000000002,-0.24,3.8415781471231995E-5
1.2000000000000002,0,1.8061854225258876E-4
1.2000000000000002,0.24,2.1787364805491316E-4
1.25,-0.24,-2.0910308965515036E-4
1.25,0,-8.095555918447765E-5
1.25,0.24,-4.336012424041547E-5
1.3000000000000003,-0.24,-7.88868964146012E-5
1.3000000000000003,0,3.678607314289693E-5
1.3000000000000003,0.24,7.441611129665776E-5
1.35,-0.24,-3.2925509106693294E-4
1.35,0,-2.2468041513790365E-4
1.35,0.24,-1.8736607030765305E-4
1.4000000000000001,-0.24,-1.0205477564291488E-4
1.4000000000000001,0,-7.3521923800603075E-6
1.4000000000000001,0.24,2.9337623895505402E-5
1.4500000000000002,-0.24,3.0786564205617867E-6
1.4500000000000002,0,8.90178275812616E-5
1.4500000000000002,0.24,1.2481651043574546E-4
