% Model,COMSOL_Inductor11_RadialMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 15 2025, 15:17"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,-1.7162509843412361
0,0,-1.2956679861214304
0,0.35,-0.7835893915005998
0.05,-0.35,-1.736292010898563
0.05,0,-1.2965689399192668
0.05,0.35,-0.7453319931313365
0.1,-0.35,-1.7285674080038786
0.1,0,-1.2672177123825206
0.1,0.35,-0.6648012720190029
0.15000000000000002,-0.35,-1.7723192246446797
0.15000000000000002,0,-1.2851682259051742
0.15000000000000002,0.35,-0.6196582944396644
0.2,-0.35,-1.784107420470347
0.2,0,-1.2634313428558952
0.2,0.35,-0.5247915588855553
0.25,-0.35,-1.7917351918433564
0.25,0,-1.2258865336300997
0.25,0.35,-0.39210244559290297
0.30000000000000004,-0.35,-1.802769738766466
0.30000000000000004,0,-1.182889813145128
0.30000000000000004,0.35,-0.21759661376002634
0.35000000000000003,-0.35,-1.7877284982675221
0.35000000000000003,0,-1.1081720163735278
0.35000000000000003,0.35,0.010469016600166622
0.4,-0.35,-1.7690023269997017
0.4,0,-1.0269154973213481
0.4,0.35,0.24452007530122055
0.45000000000000007,-0.35,-1.7208984130044949
0.45000000000000007,0,-0.9002791680412503
0.45000000000000007,0.35,0.5016074057621311
0.5,-0.35,-1.661065828519322
0.5,0,-0.7225172017426591
0.5,0.35,0.7569482500241673
0.55,-0.35,-1.61944183915062
0.55,0,-0.5327595406014609
0.55,0.35,0.9742607779650809
0.6000000000000001,-0.35,-1.5368624450635824
0.6000000000000001,0,-0.2956934814743516
0.6000000000000001,0.35,1.1957685228934667
0.6500000000000001,-0.35,-1.4088124440943044
0.6500000000000001,0,-0.028380988082740588
0.6500000000000001,0.35,1.3954720233051274
0.7000000000000001,-0.35,-1.2594634609269708
0.7000000000000001,0,0.2081027299222311
0.7000000000000001,0.35,1.508475278145203
0.75,-0.35,-1.07298615541493
0.75,0,0.4344175979686502
0.75,0.35,1.5824239708380197
0.8,-0.35,-0.8295350326386355
0.8,0,0.6653891240607651
0.8,0.35,1.6614576805238233
0.8500000000000001,-0.35,-0.5982473972591595
0.8500000000000001,0,0.8400685607525165
0.8500000000000001,0.35,1.704444186433758
0.9000000000000001,-0.35,-0.3437855482194605
0.9000000000000001,0,0.9847290809917265
0.9000000000000001,0.35,1.7547861932355684
0.9500000000000001,-0.35,-0.10452017750082915
0.9500000000000001,0,1.0768550024515333
0.9500000000000001,0.35,1.7808101097320508
1,-0.35,0.1167144268004329
1,0,1.1416185585964043
1,0.35,1.7848952272782044
1.05,-0.35,0.3312699737929379
1.05,0,1.2142481072609337
1.05,0.35,1.8007948155023812
1.1,-0.35,0.48384111681952924
1.1,0,1.2559460484019467
1.1,0.35,1.7931573198257589
1.1500000000000001,-0.35,0.5930827363233504
1.1500000000000001,0,1.2864259287835444
1.1500000000000001,0.35,1.7857907261334174
1.2000000000000002,-0.35,0.6703148818003359
1.2000000000000002,0,1.2967728497022915
1.2000000000000002,0.35,1.7677766014467984
1.25,-0.35,0.7162188701060681
1.25,0,1.286297349972439
1.25,0.35,1.7343141612592983
1.3000000000000003,-0.35,0.7763423773460122
1.3000000000000003,0,1.3028437174037073
1.3000000000000003,0.35,1.7309107131406831
1.35,-0.35,0.8161256488379128
1.35,0,1.3087144198913847
1.35,0.35,1.7186466116215966
1.4000000000000001,-0.35,0.8302920924447927
1.4000000000000001,0,1.2958080347400864
1.4000000000000001,0.35,1.6889820490168943
1.4500000000000002,-0.35,0.8344255452579896
1.4500000000000002,0,1.2772409132986036
1.4500000000000002,0.35,1.654885161992215
