% Model,COMSOL_Inductor11_Design3.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 5 2024, 17:44"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,-2.1515649922103792
0,0,-1.9174449359967798
0,0.35,-1.5999220045791116
0.05,-0.35,-2.143061775255757
0.05,0,-1.9035871470010304
0.05,0.35,-1.5715916763919402
0.1,-0.35,-2.136556118334522
0.1,0,-1.8912192460081552
0.1,0.35,-1.542991941797296
0.15000000000000002,-0.35,-2.132868528385433
0.15000000000000002,0,-1.8809929438469115
0.15000000000000002,0.35,-1.5142116367678773
0.2,-0.35,-2.1381551425459677
0.2,0,-1.8788944169997222
0.2,0.35,-1.4901290531832814
0.25,-0.35,-2.1174124307719477
0.25,0,-1.8499498417591207
0.25,0.35,-1.432642193207755
0.30000000000000004,-0.35,-2.122577237262764
0.30000000000000004,0,-1.8458450574295817
0.30000000000000004,0.35,-1.3844887795819962
0.35000000000000003,-0.35,-2.119696515611338
0.35000000000000003,0,-1.8324535247973617
0.35000000000000003,0.35,-1.3137952890302151
0.4,-0.35,-2.11070659958649
0.4,0,-1.8113401454491926
0.4,0.35,-1.2254407679407244
0.45000000000000007,-0.35,-2.0954518105286835
0.45000000000000007,0,-1.782107430391094
0.45000000000000007,0.35,-1.1224349686978
0.5,-0.35,-2.0796939390170714
0.5,0,-1.7499422008825887
0.5,0.35,-1.0176122095533584
0.55,-0.35,-2.0596314057136658
0.55,0,-1.7093847605562733
0.55,0.35,-0.9102291731513565
0.6000000000000001,-0.35,-2.0685942794217427
0.6000000000000001,0,-1.6894423814496575
0.6000000000000001,0.35,-0.8364299063627966
0.6500000000000001,-0.35,-2.0459965910689433
0.6500000000000001,0,-1.625017274329121
0.6500000000000001,0.35,-0.7376617263356076
0.7000000000000001,-0.35,-2.0302672074145156
0.7000000000000001,0,-1.5543608878903754
0.7000000000000001,0.35,-0.6543918144353015
0.75,-0.35,-2.017229204068129
0.75,0,-1.4806566566252577
0.75,0.35,-0.5842671379873962
0.8,-0.35,-1.9941395987573813
0.8,0,-1.3939421076861849
0.8,0.35,-0.515700654384734
0.8500000000000001,-0.35,-1.9531883035789939
0.8500000000000001,0,-1.292954974872824
0.8500000000000001,0.35,-0.44194542158596206
0.9000000000000001,-0.35,-1.9129256963980417
0.9000000000000001,0,-1.199357043126931
0.9000000000000001,0.35,-0.3809665091033567
0.9500000000000001,-0.35,-1.8771072584428985
0.9500000000000001,0,-1.122326231559506
0.9500000000000001,0.35,-0.3388590156316027
1,-0.35,-1.8139350043427676
1,0,-1.035864615163245
1,0.35,-0.2884448548250127
1.05,-0.35,-1.7631694327720682
1.05,0,-0.9755576942917183
1.05,0.35,-0.26375977848978305
1.1,-0.35,-1.6888886899399582
1.1,0,-0.905367088437608
1.1,0.35,-0.2275819830429643
1.1500000000000001,-0.35,-1.6397905867024956
1.1500000000000001,0,-0.8721024667200642
1.1500000000000001,0.35,-0.22693893372269677
1.2000000000000002,-0.35,-1.5442205450069788
1.2000000000000002,0,-0.7988492633493571
1.2000000000000002,0.35,-0.18459262130409965
1.25,-0.35,-1.4598684380142193
1.25,0,-0.7399261671811673
1.25,0.35,-0.1550691355884122
1.3000000000000003,-0.35,-1.43538800233361
1.3000000000000003,0,-0.7426851366174259
1.3000000000000003,0.35,-0.18575468159953143
1.35,-0.35,-1.3526081711350144
1.35,0,-0.6874810881793489
1.35,0.35,-0.1568305512937039
1.4000000000000001,-0.35,-1.2836688284128102
1.4000000000000001,0,-0.6459416687305084
1.4000000000000001,0.35,-0.14029321019304986
1.4500000000000002,-0.35,-1.1995604497863543
1.4500000000000002,0,-0.5885680782455459
1.4500000000000002,0.35,-0.10661593499834297
