% Model,COMSOL_Inductor12_Magnet3x4_Shieldng.mph
% Version,COMSOL 6.2.0.290
% Date,"Mar 12 2025, 11:52"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.8486824140095421
0,0,0.8792252647520797
0,0.4,0.9087730898517752
0.2,-0.4,1.3972062252270734
0.2,0,1.4262367824566844
0.2,0.4,1.453633379435497
0.4,-0.4,1.0532397822123543
0.4,0,1.077352299061159
0.4,0.4,1.0997117485641572
0.6000000000000001,-0.4,0.798291401845292
0.6000000000000001,0,0.8161665960597488
0.6000000000000001,0.4,0.8315030924548976
0.8,-0.4,0.5950696239544674
0.8,0,0.6072181953389301
0.8,0.4,0.6187244081957601
1,-0.4,0.43667587839220756
1,0,0.4477024344906286
1,0.4,0.45812868817784297
1.2000000000000002,-0.4,0.3162014255878907
1.2000000000000002,0,0.327537624871181
1.2000000000000002,0.4,0.3371481962451099
1.4000000000000001,-0.4,0.22586041450450295
1.4000000000000001,0,0.23926449231921035
1.4000000000000001,0.4,0.24800552656249478
1.6,-0.4,0.15971714330372697
1.6,0,0.17730330231932764
1.6,0.4,0.18513963984915932
1.8000000000000003,-0.4,0.11148970272389343
1.8000000000000003,0,0.1330201800954334
1.8000000000000003,0.4,0.14003752282437015
2,-0.4,0.07911929544258843
2,0,0.10290727065630298
2,0.4,0.10926301209385335
2.2,-0.4,0.05629602978429038
2.2,0,0.0805397417964171
2.2,0.4,0.0866659336461904
2.4000000000000004,-0.4,0.04198092610754988
2.4000000000000004,0,0.06548415854793835
2.4000000000000004,0.4,0.07158601530041943
2.6000000000000005,-0.4,0.031657376867060286
2.6000000000000005,0,0.05370999625255841
2.6000000000000005,0.4,0.059850351838794794
2.8000000000000003,-0.4,0.027440554685222288
2.8000000000000003,0,0.04748317927512089
2.8000000000000003,0.4,0.05382032439784952
3,-0.4,0.023420353338539448
3,0,0.041203839931614236
3,0.4,0.047747013501148176
3.2,-0.4,0.025574672716621647
3.2,0,0.04117786783723131
3.2,0.4,0.04774060810511607
3.4000000000000004,-0.4,0.027276935207498534
3.4000000000000004,0,0.04085216979502944
3.4000000000000004,0.4,0.04725888058838455
3.6000000000000005,-0.4,0.03300449011829247
3.6000000000000005,0,0.044752787981208825
3.6000000000000005,0.4,0.05085588796462161
3.8000000000000003,-0.4,0.038910047723990884
3.8000000000000003,0,0.04901936024724565
3.8000000000000003,0.4,0.05471540877113616
4,-0.4,0.04705687535649666
4,0,0.055718304155838276
4,0.4,0.06094361874861003
4.2,-0.4,0.05582672313810213
4.2,0,0.06321792567069692
4.2,0.4,0.0679418832178145
4.4,-0.4,0.0648854169123519
4.4,0,0.071166586281908
4.4,0.4,0.07538327193691023
4.6000000000000005,-0.4,0.0737604135179276
4.6000000000000005,0,0.07907009158621117
4.6000000000000005,0.4,0.08279132556553367
4.800000000000001,-0.4,0.08345456921394505
4.800000000000001,0,0.08792739775473156
4.800000000000001,0.4,0.09117745465160007
5,-0.4,0.09109024787786958
5,0,0.09484108324728395
5,0.4,0.09765048941897249
