% Model,COMSOL_Inductor12_RingMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 15 2025, 16:22"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,-0.10689814300165867
0,0,-0.07983787491488403
0,0.4,-0.05143009375114982
0.05,-0.4,-0.11801227523823332
0.05,0,-0.08914757677280338
0.05,0.4,-0.05847046491364427
0.1,-0.4,-0.13512900630921543
0.1,0,-0.10452591945038314
0.1,0.4,-0.07076179728395271
0.15000000000000002,-0.4,-0.14298856119259717
0.15000000000000002,0,-0.11067479610358877
0.15000000000000002,0.4,-0.07261785580769953
0.2,-0.4,-0.14377067073658178
0.2,0,-0.10969233550664192
0.2,0.4,-0.06564552039893545
0.25,-0.4,-0.15847095068286787
0.25,0,-0.12224074035916921
0.25,0.4,-0.06956100609822613
0.30000000000000004,-0.4,-0.16382615698333947
0.30000000000000004,0,-0.12447481242881953
0.30000000000000004,0.4,-0.056284622458132816
0.35000000000000003,-0.4,-0.17373889535800835
0.35000000000000003,0,-0.13005857159492074
0.35000000000000003,0.4,-0.03548977735018077
0.4,-0.4,-0.17872266395185932
0.4,0,-0.1290013244966648
0.4,0.4,-0.0018035472876922753
0.45000000000000007,-0.4,-0.18272215739646658
0.45000000000000007,0,-0.12455567714215743
0.45000000000000007,0.4,0.03539601364570544
0.5,-0.4,-0.18015272146002026
0.5,0,-0.1057840331995461
0.5,0.4,0.0798666189832371
0.55,-0.4,-0.1894479419081927
0.55,0,-0.08524074098652701
0.55,0.4,0.11160206163495445
0.6000000000000001,-0.4,-0.19043040696691715
0.6000000000000001,0,-0.05022367253249893
0.6000000000000001,0.4,0.14417349818072722
0.6500000000000001,-0.4,-0.1708132934620039
0.6500000000000001,0,0.0030531924513272912
0.6500000000000001,0.4,0.17692288481271579
0.7000000000000001,-0.4,-0.16060772243659382
0.7000000000000001,0,0.033841216848845335
0.7000000000000001,0.4,0.1740900547797848
0.75,-0.4,-0.11975592821418246
0.75,0,0.07707378822481825
0.75,0.4,0.1812724318236425
0.8,-0.4,-0.08249018730020996
0.8,0,0.10315661734091552
0.8,0.4,0.17752541979574055
0.8500000000000001,-0.4,-0.03353392737280636
0.8500000000000001,0,0.1264105872349095
0.8500000000000001,0.4,0.18459735031375235
0.9000000000000001,-0.4,-0.007045078284730444
0.9000000000000001,0,0.12013984936199851
0.9000000000000001,0.4,0.16986601934038514
0.9500000000000001,-0.4,0.03675736864651302
0.9500000000000001,0,0.13132189418595885
0.9500000000000001,0.4,0.1750052525013892
1,-0.4,0.04529028476407149
1,0,0.11347768651235501
1,0.4,0.1528371626895053
1.05,-0.4,0.0628330553108194
1.05,0,0.1154911976251558
1.05,0.4,0.15170632844347498
1.1,-0.4,0.06590412925026445
1.1,0,0.10994111709328447
1.1,0.4,0.1440185095742379
1.1500000000000001,-0.4,0.051033840159703914
1.1500000000000001,0,0.0890950633267007
1.1500000000000001,0.4,0.12141891865993326
1.2000000000000002,-0.4,0.05500075252315728
1.2000000000000002,0,0.08877119812443723
1.2000000000000002,0.4,0.11938169794679876
1.25,-0.4,0.05193124628172896
1.25,0,0.08259951282556166
1.25,0.4,0.11147058734124649
1.3000000000000003,-0.4,0.05087993266512392
1.3000000000000003,0,0.07930477059144714
1.3000000000000003,0.4,0.10638001555006404
1.35,-0.4,0.04080045114890485
1.35,0,0.06716035841592749
1.35,0.4,0.09236306271423977
1.4000000000000001,-0.4,0.02562733312767218
1.4000000000000001,0,0.04993655333179259
1.4000000000000001,0.4,0.073185427617525
1.4500000000000002,-0.4,0.029453001644439425
1.4500000000000002,0,0.05169579850729544
1.4500000000000002,0.4,0.07291338488961596
