% Model,COMSOL_Inductor25_Design5.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 2 2025, 16:59"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.010965208228021994
0,0,0.0010245434436172984
0,0.4,-0.00892735231605507
0.05,-0.4,0.010049227107080116
0.05,0,1.0406906443788388E-4
0.05,0.4,-0.009851787553210756
0.1,-0.4,0.010215171455368044
0.1,0,2.746617551428465E-4
0.1,0.4,-0.009677991443478084
0.15000000000000002,-0.4,0.007768911457610661
0.15000000000000002,0,-0.0021783220951478444
0.15000000000000002,0.4,-0.012136861718086756
0.2,-0.4,0.009982978012038068
0.2,0,3.9205826364796525E-5
0.2,0.4,-0.009915584160094582
0.25,-0.4,0.010532155398880139
0.25,0,5.886477655762112E-4
0.25,0.4,-0.009369791927104076
0.30000000000000004,-0.4,0.009122399570879514
0.30000000000000004,0,-8.342980835887026E-4
0.30000000000000004,0.4,-0.010799883451248604
0.35000000000000003,-0.4,0.009161463176657558
0.35000000000000003,0,-7.786547390424836E-4
0.35000000000000003,0.4,-0.010734637555640969
0.4,-0.4,0.010013122762512427
0.4,0,7.778757327248087E-5
0.4,0.4,-0.009874618133732749
0.45000000000000007,-0.4,0.010406276144484528
0.45000000000000007,0,4.8262839564378046E-4
0.45000000000000007,0.4,-0.009457766975131399
0.5,-0.4,0.010431707650922883
0.5,0,5.241070902935463E-4
0.5,0.4,-0.00940121735166205
0.55,-0.4,0.009742232814452134
0.55,0,-1.495801696746457E-4
0.55,0.4,-0.010058287475772087
0.6000000000000001,-0.4,0.00905123994989765
0.6000000000000001,0,-8.073170897741622E-4
0.6000000000000001,0.4,-0.010682500081378554
0.6500000000000001,-0.4,0.008833172214438634
0.6500000000000001,0,-9.937563975973562E-4
0.6500000000000001,0.4,-0.010836884360520216
0.7000000000000001,-0.4,0.010518750009466504
0.7000000000000001,0,7.445184303407903E-4
0.7000000000000001,0.4,-0.009048270101680689
0.75,-0.4,0.01090697585648398
0.75,0,0.0011902870632093943
0.75,0.4,-0.008546027505995701
0.8,-0.4,0.010246774504550582
0.8,0,6.044787632624726E-4
0.8,0.4,-0.009060573943382222
0.8500000000000001,-0.4,0.00958903453534371
0.8500000000000001,0,3.5909239271991744E-5
0.8500000000000001,0.4,-0.009537914110790413
0.9000000000000001,-0.4,0.009742375572306339
0.9000000000000001,0,2.9637958293010636E-4
0.9000000000000001,0.4,-0.009169527696412827
0.9500000000000001,-0.4,0.010494521676442048
0.9500000000000001,0,0.0011715176609953803
0.9500000000000001,0.4,-0.008172350789371174
1,-0.4,0.009499190408679803
1,0,3.193830945650289E-4
1,0.4,-0.008881186289355913
1.05,-0.4,0.008798356757491466
1.05,0,-2.1935205636841593E-4
1.05,0.4,-0.00925888783134693
1.1,-0.4,0.007047754250183946
1.1,0,-0.001783913119516145
1.1,0.4,-0.010637879414914675
1.1500000000000001,-0.4,0.008734687207508474
1.1500000000000001,0,1.014734966511277E-4
1.1500000000000001,0.4,-0.008552287716732387
1.2000000000000002,-0.4,0.007937200967530922
1.2000000000000002,0,-4.644255405181208E-4
1.2000000000000002,0.4,-0.008889870968486424
1.25,-0.4,0.008134865681397985
1.25,0,-1.667202184713057E-5
1.25,0.4,-0.008192139598443726
1.3000000000000003,-0.4,0.006597625625821502
1.3000000000000003,0,-0.0012802052847706302
1.3000000000000003,0.4,-0.009179409765856128
1.35,-0.4,0.008041293924798076
1.35,0,4.5643161948871747E-4
1.35,0.4,-0.007151813312158806
1.4000000000000001,-0.4,0.00768236361274105
1.4000000000000001,0,4.0981028113712403E-4
1.4000000000000001,0.4,-0.006884749517046318
1.4500000000000002,-0.4,0.007820049308689903
1.4500000000000002,0,8.825533376011774E-4
1.4500000000000002,0.4,-0.0060793915628130635
