% Model,NonlinearSpring_EcoFlex10.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 30 2025, 10:54"
% Table,Table 1 - Surface Integration 1
% Displacement (mm),"Reaction force, y-component (N)"
0,0
0.05,-0.039729372680252346
0.1,-0.0806639295211891
0.15000000000000002,-0.12293940031833184
0.2,-0.1666929614212131
0.25,-0.2120621468623063
0.30000000000000004,-0.25918533566939755
0.35000000000000003,-0.3082018322751369
0.4,-0.35924972574698294
0.45000000000000007,-0.41246148854903836
0.5,-0.4679641810705449
0.55,-0.5259041998127899
0.6000000000000001,-0.5864690063737265
0.6500000000000001,-0.6498382144998047
0.7000000000000001,-0.716164951514007
0.75,-0.7856111156111033
