% Model,LightTouch_Shielded.mph
% Version,COMSOL 6.2.0.290
% Date,"May 13 2025, 17:59"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-3.85,0.12894751592312292
0,0,-0.7851306548784017
0,3.85,-1.1235815863943688
0.25,-3.85,-0.3049494876793556
0.25,0,-1.2512999391792983
0.25,3.85,-1.5449800085986851
0.5,-3.85,-0.1021801971333432
0.5,0,-0.9167542088051844
0.5,3.85,-1.1012408137919365
0.75,-3.85,0.009929623789261956
0.75,0,-0.6699875922994449
0.75,3.85,-0.7871987007872661
1,-3.85,0.06655685664491347
1,0,-0.46883349515477973
1,3.85,-0.5680166254757335
1.25,-3.85,0.09220560663164719
1.25,0,-0.32430137127344466
1.25,3.85,-0.41497514894152177
1.5,-3.85,0.1013384167042545
1.5,0,-0.22624022028318316
1.5,3.85,-0.31213640552400995
1.75,-3.85,0.0995591627962909
1.75,0,-0.16329889271463316
1.75,3.85,-0.24516046124060098
2,-3.85,0.09528591345231277
2,0,-0.11916032636025686
2,3.85,-0.1965477038390001
2.2500000000000004,-3.85,0.0868560768516062
2.2500000000000004,0,-0.09014293310398364
2.2500000000000004,3.85,-0.16268376232657913
2.5,-3.85,0.07827648322881729
2.5,0,-0.06881937870519135
2.5,3.85,-0.13648699938503042
2.75,-3.85,0.07110499070987153
2.75,0,-0.05180854392093688
2.75,3.85,-0.11454360229523773
3,-3.85,0.061463151353457764
3,0,-0.041754917704229774
3,3.85,-0.09941870707592301
3.2500000000000004,-3.85,0.053769127606188336
3.2500000000000004,0,-0.03332638867159622
3.2500000000000004,3.85,-0.08591588855682793
3.5,-3.85,0.04563512725463691
3.5,0,-0.02813052056931261
3.5,3.85,-0.07575016200436845
3.75,-3.85,0.036949621777336655
3.75,0,-0.025725684193399927
3.75,3.85,-0.06856357349617948
4,-3.85,0.02932757665195531
4,0,-0.024081554113188443
4,3.85,-0.062411600451462525
4.25,-3.85,0.02338830314842709
4.25,0,-0.022210307884500194
4.25,3.85,-0.05633387415022513
4.500000000000001,-3.85,0.016135828791675265
4.500000000000001,0,-0.022848231767076392
4.500000000000001,3.85,-0.05308974744484714
4.75,-3.85,0.009148484373846013
4.75,0,-0.024203361807391285
4.75,3.85,-0.05088858178892851
5,-3.85,0.0023285104725089076
5,0,-0.02622209230357867
5,3.85,-0.049681060236423026
5.25,-3.85,-0.00528776090546142
5.25,0,-0.029729554485092104
5.25,3.85,-0.050276439425365596
5.5,-3.85,-0.01076986699844687
5.5,0,-0.03167704488359194
5.5,3.85,-0.049601579948844794
5.75,-3.85,-0.016227804726027355
5.75,0,-0.0341037365349105
5.75,3.85,-0.04969024307948314
6,-3.85,-0.020589376788081655
6,0,-0.03585789673305966
6,3.85,-0.04936558152214818
6.25,-3.85,-0.024617085914206104
6.25,0,-0.03764285417746707
6.25,3.85,-0.049311392072120194
6.500000000000001,-3.85,-0.028250052882581658
6.500000000000001,0,-0.03935003663559822
6.500000000000001,3.85,-0.049401060504595286
6.75,-3.85,-0.029230532038521488
6.75,0,-0.03868348941158725
6.75,3.85,-0.04732283440066463
7,-3.85,-0.029204345106296516
7,0,-0.03724854055993442
7,3.85,-0.044659525838101496
7.25,-3.85,-0.027807724343306837
7.25,0,-0.034658238658693524
7.25,3.85,-0.04101326925438588
7.5,-3.85,-0.02754714119337178
7.5,0,-0.0333873299539385
7.5,3.85,-0.03883769920022638
7.75,-3.85,-0.024886651616894327
7.75,0,-0.029880001527776614
7.75,3.85,-0.034564389259375064
8,-3.85,-0.021533290096157363
8,0,-0.025821308752777952
8,3.85,-0.02986228790514055
8.25,-3.85,-0.017252047185336464
8.25,0,-0.020958957994653755
8.25,3.85,-0.02446612718445813
8.5,-3.85,-0.013593306436579279
8.5,0,-0.016825881230328823
8.5,3.85,-0.019894799697465586
8.75,-3.85,-0.011056117279378757
8.75,0,-0.01390619173238477
8.75,3.85,-0.01662004788367994
9.000000000000002,-3.85,-0.006943249426722742
9.000000000000002,0,-0.009489961897193182
9.000000000000002,3.85,-0.011921179119253595
9.25,-3.85,-0.005577235532690381
9.25,0,-0.007886128003704543
9.25,3.85,-0.010095144665446565
9.5,-3.85,-0.0020273407401030187
9.5,0,-0.004152916949352474
9.5,3.85,-0.006190344706403553
9.75,-3.85,-0.0018776126950020263
9.75,0,-0.0038625769568998514
9.75,3.85,-0.005768264879182531
10,-3.85,3.388621525835737E-5
10,0,-0.0018450597052765351
10,3.85,-0.0036514577065542373
