% Model,COMSOL_Custom_Speaker.mph
% Version,COMSOL 6.2.0.290
% Date,"Feb 10 2025, 17:53"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.4,0.29053738495858916
0,0,0.2921294332624161
0,0.4,0.29319293608643
0.2,-0.4,0.3000155964816496
0.2,0,0.2916807766644072
0.2,0.4,0.28303789835957244
0.4,-0.4,0.3096302397738873
0.4,0,0.29303382472234474
0.4,0.4,0.27627539938269513
0.6000000000000001,-0.4,0.31537653855070436
0.6000000000000001,0,0.29273814749588545
0.6000000000000001,0.4,0.270028703337433
0.8,-0.4,0.31943867881291677
0.8,0,0.29287692095156803
0.8,0.4,0.26628974890083995
1,-0.4,0.321152538428106
1,0,0.29261669043969385
1,0.4,0.26406848626888874
1.2000000000000002,-0.4,0.32184560991382877
1.2000000000000002,0,0.29316754063351436
1.2000000000000002,0.4,0.26447669339759844
1.4000000000000001,-0.4,0.31979336855467827
1.4000000000000001,0,0.2927277370194608
1.4000000000000001,0.4,0.265644650660425
1.6,-0.4,0.3163921544279445
1.6,0,0.29257319780945173
1.6,0.4,0.268732427669184
1.8000000000000003,-0.4,0.3127258994528717
1.8000000000000003,0,0.29307657826612266
1.8000000000000003,0.4,0.27340315033411533
2,-0.4,0.3081572824042888
2,0,0.29238909930157425
2,0.4,0.2765968028186756
2.2,-0.4,0.3054657242953503
2.2,0,0.2929014815671648
2.2,0.4,0.28031450708950384
2.4000000000000004,-0.4,0.30286230015957794
2.4000000000000004,0,0.29285201923835835
2.4000000000000004,0.4,0.2828210873761252
2.6000000000000005,-0.4,0.30068244013559986
2.6000000000000005,0,0.29268057186393054
2.6000000000000005,0.4,0.2846604388851114
2.8000000000000003,-0.4,0.2992884917224128
2.8000000000000003,0,0.29285784834483936
2.8000000000000003,0.4,0.28641139636207946
3,-0.4,0.2980168613571757
3,0,0.29281805592542126
3,0.4,0.2876057888017685
3.2,-0.4,0.29692816670694433
3.2,0,0.29269569287421726
3.2,0.4,0.28845178482113104
3.4000000000000004,-0.4,0.29635573738872856
3.4000000000000004,0,0.2928862348042283
3.4000000000000004,0.4,0.2894070352788494
3.6000000000000005,-0.4,0.2958827875756998
3.6000000000000005,0,0.2930184647551538
3.6000000000000005,0.4,0.2901459915009454
3.8000000000000003,-0.4,0.29546375749368303
3.8000000000000003,0,0.29308248852045715
3.8000000000000003,0.4,0.29069446954787387
4,-0.4,0.2947016215432
4,0,0.2927088242661242
4,0.4,0.2907104935961882
4.2,-0.4,0.2941269128940242
4.2,0,0.29244846369071775
4.2,0.4,0.29076554497177975
4.4,-0.4,0.29425889545501566
4.4,0,0.29283598286770046
4.4,0.4,0.2914095127432733
4.6000000000000005,-0.4,0.2944022085312941
4.6000000000000005,0,0.29318902605183467
4.6000000000000005,0.4,0.2919729944752276
4.800000000000001,-0.4,0.2942970126405018
4.800000000000001,0,0.2932566666128964
4.800000000000001,0.4,0.29221405720174837
5,-0.4,0.294150189624314
5,0,0.29325335668282454
5,0.4,0.292354722085676
