% Model,COMSOL_Inductor11_HugeMagnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Jan 15 2025, 16:02"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,0.2084204862365553
0,0,0.43668474647631506
0,0.35,0.6602649196142947
0.05,-0.35,9.786771393837432
0.05,0,10.045848508501876
0.05,0.35,10.29670676383717
0.1,-0.35,9.44610914514157
0.1,0,9.698649932986646
0.1,0.35,9.947032011503572
0.15000000000000002,-0.35,9.13791507083703
0.15000000000000002,0,9.386894663354616
0.15000000000000002,0.35,9.631930363565886
0.2,-0.35,8.852127501503608
0.2,0,9.094665622899356
0.2,0.35,9.335472973510742
0.25,-0.35,8.59005535185561
0.25,0,8.828154561155412
0.25,0.35,9.064944219436196
0.30000000000000004,-0.35,8.348392096763249
0.30000000000000004,0,8.582004646691423
0.30000000000000004,0.35,8.815140408874651
0.35000000000000003,-0.35,8.123222382913626
0.35000000000000003,0,8.352418437784637
0.35000000000000003,0.35,8.58194402129916
0.4,-0.35,7.890591385051218
0.4,0,8.115728209753517
0.4,0.35,8.341672564524604
0.45000000000000007,-0.35,7.687198152143235
0.45000000000000007,0,7.908604603436494
0.45000000000000007,0.35,8.130783853997453
0.5,-0.35,7.493541840076517
0.5,0,7.710761843530881
0.5,0.35,7.92971787628953
0.55,-0.35,7.30219497618988
0.55,0,7.5162605204684425
0.55,0.35,7.731673465475428
0.6000000000000001,-0.35,7.114127756816408
0.6000000000000001,0,7.3280613954535045
0.6000000000000001,0.35,7.5368197660896525
0.6500000000000001,-0.35,6.940598639201949
0.6500000000000001,0,7.151418083666124
0.6500000000000001,0.35,7.356688845469687
0.7000000000000001,-0.35,6.775697077833308
0.7000000000000001,0,6.980568223780515
0.7000000000000001,0.35,7.18236665271065
0.75,-0.35,6.616549425940727
0.75,0,6.818072493754248
0.75,0.35,7.016563472119147
0.8,-0.35,6.456305240616775
0.8,0,6.654497212178964
0.8,0.35,6.849675133720376
0.8500000000000001,-0.35,6.291709269948327
0.8500000000000001,0,6.48666188339365
0.8500000000000001,0.35,6.678489632309186
0.9000000000000001,-0.35,6.153813863087973
0.9000000000000001,0,6.345498137815496
0.9000000000000001,0.35,6.53424618722078
0.9500000000000001,-0.35,6.0106344267291165
0.9500000000000001,0,6.199125640731012
0.9500000000000001,0.35,6.384703568963141
1,-0.35,5.875895913791237
1,0,6.061278609619873
1,0.35,6.243762810214727
1.05,-0.35,5.739823108318397
1.05,0,5.922116651112233
1.05,0.35,6.101582042187987
1.1,-0.35,5.61875016665404
1.1,0,5.79806152236703
1.1,0.35,5.9744453434920635
1.1500000000000001,-0.35,5.492041458538942
1.1500000000000001,0,5.667479295413653
1.1500000000000001,0.35,5.841757995855169
1.2000000000000002,-0.35,5.366858999819788
1.2000000000000002,0,5.539885368079442
1.2000000000000002,0.35,5.710543903217838
1.25,-0.35,5.249841185353592
1.25,0,5.420029005984837
1.25,0.35,5.587461888808229
1.3000000000000003,-0.35,5.140019525318514
1.3000000000000003,0,5.3074878972981345
1.3000000000000003,0.35,5.471115828621729
1.35,-0.35,5.027921616081131
1.35,0,5.192418193986038
1.35,0.35,5.352769961635745
1.4000000000000001,-0.35,4.911913872084318
1.4000000000000001,0,5.073276067151157
1.4000000000000001,0.35,5.2302762409432555
1.4500000000000002,-0.35,4.806871289837837
1.4500000000000002,0,4.965545025431465
1.4500000000000002,0.35,5.119918646703451
