% Model,COMSOL_Inductor11_Magnet.mph
% Version,COMSOL 6.2.0.290
% Date,"Dec 4 2024, 14:48"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-0.35,0.13011129847214337
0,0,0.1279348060295325
0,0.35,0.12572818595320073
0.05,-0.35,0.1329114390710824
0.05,0,0.13157369280160672
0.05,0.35,0.1301835144845968
0.1,-0.35,0.10243843255238266
0.1,0,0.10154721329286553
0.1,0.35,0.10060862100015276
0.15000000000000002,-0.35,0.07985937687636119
0.15000000000000002,0,0.07933459397278125
0.15000000000000002,0.35,0.07876169797227212
0.2,-0.35,0.062371339047378196
0.2,0,0.0621805164598075
0.2,0.35,0.0618597681458489
0.25,-0.35,0.04798481914808265
0.25,0,0.047979875329879226
0.25,0.35,0.04790355303015849
0.30000000000000004,-0.35,0.0367550903228623
0.30000000000000004,0,0.03687455148442914
0.30000000000000004,0.35,0.03696294833036027
0.35000000000000003,-0.35,0.02825357447193033
0.35000000000000003,0,0.028448893157927955
0.35000000000000003,0.35,0.02862543811169182
0.4,-0.35,0.022334277013581545
0.4,0,0.02255666533626968
0.4,0.35,0.022767668124247575
0.45000000000000007,-0.35,0.016923182451485434
0.45000000000000007,0,0.017158686180819994
0.45000000000000007,0.35,0.017385448268196255
0.5,-0.35,0.013554380266258867
0.5,0,0.013801076778500123
0.5,0.35,0.014040373866630361
0.55,-0.35,0.011138936514453815
0.55,0,0.011396191576649863
0.55,0.35,0.011647047133035562
0.6000000000000001,-0.35,0.008321011145725542
0.6000000000000001,0,0.008588648227109192
0.6000000000000001,0.35,0.008850627362408853
0.6500000000000001,-0.35,0.0073507209375787905
0.6500000000000001,0,0.007628587045366505
0.6500000000000001,0.35,0.007901353314960544
0.7000000000000001,-0.35,0.006293333688443074
0.7000000000000001,0,0.0065812474846156845
0.7000000000000001,0.35,0.006864472712297257
0.75,-0.35,0.005416824193494992
0.75,0,0.00571459211777829
0.75,0.35,0.00600796883598295
0.8,-0.35,0.003954107095007986
0.8,0,0.004261389235740577
0.8,0.35,0.0045645030777466955
0.8500000000000001,-0.35,0.003226486997809311
0.8500000000000001,0,0.0035429842843590653
0.8500000000000001,0.35,0.0038554937145663932
0.9000000000000001,-0.35,0.0026725147271598653
0.9000000000000001,0,0.0029980785235274644
0.9000000000000001,0.35,0.00331983229322562
0.9500000000000001,-0.35,0.002619045458297743
0.9500000000000001,0,0.00295347000837615
0.9500000000000001,0.35,0.003284247201180355
1,-0.35,0.0021535489370463467
1,0,0.0024963966562551185
1,0.35,0.0028357658927120064
1.05,-0.35,0.002070381775440673
1.05,0,0.002421362037830639
1.05,0.35,0.0027690584083539223
1.1,-0.35,0.00152808728317238
1.1,0,0.0018869473027145803
1.1,0.35,0.0022426977527340557
1.1500000000000001,-0.35,0.001324402295393952
1.1500000000000001,0,0.0016912346581238855
1.1500000000000001,0.35,0.0020551489577154847
1.2000000000000002,-0.35,8.344581918719842E-4
1.2000000000000002,0,0.0012085332058540356
1.2000000000000002,0.35,0.0015798724270472903
1.25,-0.35,0.0011252902875458458
1.25,0,0.0015064768525283366
1.25,0.35,0.0018850967793397808
1.3000000000000003,-0.35,0.0010107599193349827
1.3000000000000003,0,0.0013985633493217848
1.3000000000000003,0.35,0.0017839626899774329
1.35,-0.35,7.292255344829753E-4
1.35,0,0.001123464327715284
1.35,0.35,0.0015154583372164738
1.4000000000000001,-0.35,4.5626024843242307E-4
1.4000000000000001,0,8.565986846350332E-4
1.4000000000000001,0.35,0.0012548412862011635
1.4500000000000002,-0.35,6.519803685588661E-4
1.4500000000000002,0,0.0010583088099679434
1.4500000000000002,0.35,0.0014626841924324603
