% Model,COMSOL_Inductor32_Magnet3x4_Design6.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 10 2025, 18:08"
% Table,Table 1 - Global Evaluation 1
% Position (mm),Current (A),"Electromagnetic force, z component (N)"
0,-3.85,-0.6829024162853471
0,0,-0.7088733848247656
0,3.85,-0.7416059850798289
0.25,-3.85,-0.47442501969459266
0.25,0,-0.4742353196557425
0.25,3.85,-0.5195586179067376
0.5,-3.85,-0.3779631047860847
0.5,0,-0.34277375121008186
0.5,3.85,-0.4152493655942865
0.75,-3.85,-0.33190899521172024
0.75,0,-0.25422333276104425
0.75,3.85,-0.3638894425109592
1,-3.85,-0.24681855177804302
1,0,-0.19138995458606675
1,3.85,-0.2763302313823828
1.25,-3.85,-0.1827152225664338
1.25,0,-0.14490159928043891
1.25,3.85,-0.21105713967205122
1.5,-3.85,-0.13256622302589285
1.5,0,-0.11123342002001746
1.5,3.85,-0.1668207623398858
1.75,-3.85,-0.09285734501313146
1.75,0,-0.08108569142791966
1.75,3.85,-0.12982763143318587
2,-3.85,-0.06580468072978561
2,0,-0.05731036628335898
2,3.85,-0.10070839060157605
2.2500000000000004,-3.85,-0.04611958874603633
2.2500000000000004,0,-0.03744994223566689
2.2500000000000004,3.85,-0.07653699544505826
2.5,-3.85,-0.035036243668827405
2.5,0,-0.025201195516795116
2.5,3.85,-0.060574970899801184
2.75,-3.85,-0.026827306717172983
2.75,0,-0.016521603499814935
2.75,3.85,-0.04828945842481913
3,-3.85,-0.019394789826089026
3,0,-0.00929326401504646
3,3.85,-0.03737882616621929
3.2500000000000004,-3.85,-0.014579472673765137
3.2500000000000004,0,-0.004887572835004239
3.2500000000000004,3.85,-0.029293961759372156
3.5,-3.85,-0.010115734213866329
3.5,0,-0.001720018925147726
3.5,3.85,-0.022377670848586356
3.75,-3.85,-0.006509924157586083
3.75,0,3.5480002672594324E-4
3.75,3.85,-0.016534678489455557
4,-3.85,-0.003413370808231647
4,0,0.0010207990222507735
4,3.85,-0.01237603403544102
4.25,-3.85,-0.0013791042706060297
4.25,0,0.0026409466007042137
4.25,3.85,-0.009116658162048874
4.500000000000001,-3.85,-0.012231424541819608
4.500000000000001,0,0.001270968395370553
4.500000000000001,3.85,-0.017922760039693342
4.75,-3.85,-0.022794714123264503
4.75,0,0.0017804337591902086
4.75,3.85,-0.0259643736416921
5,-3.85,-0.009305695649943713
5,0,0.0021116770834946064
5,3.85,-0.016711995927782802
5.25,-3.85,4.271188905381751E-4
5.25,0,0.004253619061766467
5.25,3.85,-0.008540664458129427
5.5,-3.85,0.0030323262563084763
5.5,0,0.004057237342903142
5.5,3.85,-0.005660335927139548
5.75,-3.85,0.0035800301049436767
5.75,0,0.00342971776340642
5.75,3.85,-0.004333619842099706
6,-3.85,0.006317272027422882
6,0,0.005789624590687242
6,3.85,-6.85230319751845E-4
